Cat_id	especie	Ind_ID	x	y	Coordillera
1	Eriocnemis vestita	Eriocnemis vestita_1	-73.4724426	5.7324852	Oriental
2	Eriocnemis vestita	Eriocnemis vestita_2	-73.4474659	5.71865	Oriental
3	Eriocnemis vestita	Eriocnemis vestita_3	-73.7701464	4.9788002	Oriental
4	Eriocnemis vestita	Eriocnemis vestita_4	-73.5279683	5.0770152	Oriental
5	Eriocnemis vestita	Eriocnemis vestita_5	-73.883333	5.183333	Oriental
6	Eriocnemis vestita	Eriocnemis vestita_7	-73.716667	5.083333	Oriental
7	Eriocnemis vestita	Eriocnemis vestita_9	-76.074583	6.451251	Occidental
8	Eriocnemis vestita	Eriocnemis vestita_10	-75.793603	5.535228	Occidental
9	Eriocnemis vestita	Eriocnemis vestita_11	-76.1	6.483333	Occidental
10	Eriocnemis vestita	Eriocnemis vestita_12	-76.089451	6.435972	Occidental
11	Eriocnemis vestita	Eriocnemis vestita_13	-76.079033	6.41547	Occidental
12	Eriocnemis vestita	Eriocnemis vestita_14	-76.07594	6.42786	Occidental
13	Eriocnemis vestita	Eriocnemis vestita_19	-76.088	6.42	Occidental
14	Eriocnemis vestita	Eriocnemis vestita_20	-76.08818	6.4199	Occidental
15	Eriocnemis vestita	Eriocnemis vestita_21	-76.13052	6.43543	Occidental
16	Eriocnemis vestita	Eriocnemis vestita_22	-75.80388	5.54006	Occidental
17	Eriocnemis vestita	Eriocnemis vestita_23	-76.095	6.46389	Occidental
18	Eriocnemis vestita	Eriocnemis vestita_29	-75.25338	5.71932	Central
19	Eriocnemis vestita	Eriocnemis vestita_35	-76.095	6.46389	Occidental
20	Eriocnemis vestita	Eriocnemis vestita_51	-75.94584	7.07974	Occidental
21	Eriocnemis vestita	Eriocnemis vestita_67	-76.05143	5.75384	Occidental
22	Eriocnemis vestita	Eriocnemis vestita_68	-76.083	6.45	Occidental
23	Eriocnemis vestita	Eriocnemis vestita_69	-75.796	5.53472	Occidental
24	Eriocnemis vestita	Eriocnemis vestita_70	-76.08135	6.41595	Occidental
25	Eriocnemis vestita	Eriocnemis vestita_71	-76.12564	6.44393	Occidental
26	Eriocnemis vestita	Eriocnemis vestita_76	-75.80345	5.54017	Occidental
27	Eriocnemis vestita	Eriocnemis vestita_77	-75.77917	5.55466	Occidental
28	Eriocnemis vestita	Eriocnemis vestita_78	-75.80318	5.53931	Occidental
29	Eriocnemis vestita	Eriocnemis vestita_79	-75.80444	5.53889	Occidental
30	Eriocnemis vestita	Eriocnemis vestita_80	-76.08797	6.42661	Occidental
31	Eriocnemis vestita	Eriocnemis vestita_81	-75.2326388888889	5.77408333333333	Central
32	Eriocnemis vestita	Eriocnemis vestita_82	-75.2681388888889	5.81163888888889	Central
33	Eriocnemis vestita	Eriocnemis vestita_83	-75.2465	5.69627777777778	Central
